State,class,tokenize_with_padding,tokenize_no_padding
"s+S,B,S+S.S",1,"[20, 49, 29, 48, 11, 48, 29, 49, 29, 47]","[20, 49, 29, 48, 11, 48, 29, 49, 29, 47, 29]"
"H,H,H,h,y+",1,"[17, 48, 17, 48, 17, 48, 8, 48, 26, 49]","[17, 48, 17, 48, 17, 48, 8, 48, 26, 49]"
"y,h,y.y.h.h",1,"[26, 48, 8, 48, 26, 47, 26, 47, 8, 47]","[26, 48, 8, 48, 26, 47, 26, 47, 8, 47, 8]"
"r+R*R.R+R,R",1,"[19, 49, 28, 50, 28, 47, 28, 49, 28, 48]","[19, 49, 28, 50, 28, 47, 28, 49, 28, 48, 28]"
"R,R*",1,"[28, 48, 28, 50, 0, 0, 0, 0, 0, 0]","[28, 48, 28, 50]"
"s+S,s,s,S+S",1,"[20, 49, 29, 48, 20, 48, 20, 48, 29, 49]","[20, 49, 29, 48, 20, 48, 20, 48, 29, 49, 29]"
R*,1,"[28, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 50]"
+b+b+b+b+b+,1,"[49, 2, 49, 2, 49, 2, 49, 2, 49, 2]","[49, 2, 49, 2, 49, 2, 49, 2, 49, 2, 49]"
b+b+b+b+b+b,1,"[2, 49, 2, 49, 2, 49, 2, 49, 2, 49]","[2, 49, 2, 49, 2, 49, 2, 49, 2, 49, 2]"
R*,1,"[28, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 50]"
"S,r,",1,"[29, 48, 19, 48, 0, 0, 0, 0, 0, 0]","[29, 48, 19, 48]"
"s,",1,"[20, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 48]"
"+B+s,B,S*s+",1,"[49, 11, 49, 20, 48, 11, 48, 29, 50, 20]","[49, 11, 49, 20, 48, 11, 48, 29, 50, 20, 49]"
"+s,s+s+s+s+",1,"[49, 20, 48, 20, 49, 20, 49, 20, 49, 20]","[49, 20, 48, 20, 49, 20, 49, 20, 49, 20, 49]"
"S.S.r,s.r.A",1,"[29, 47, 29, 47, 19, 48, 20, 47, 19, 47]","[29, 47, 29, 47, 19, 48, 20, 47, 19, 47, 10]"
S*s*S+s+s+S,1,"[29, 50, 20, 50, 29, 49, 20, 49, 20, 49]","[29, 50, 20, 50, 29, 49, 20, 49, 20, 49, 29]"
R+,1,"[28, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 49]"
"*B*S,s+b+s+",1,"[50, 11, 50, 29, 48, 20, 49, 2, 49, 20]","[50, 11, 50, 29, 48, 20, 49, 2, 49, 20, 49]"
"s+s+s,s+s+s",1,"[20, 49, 20, 49, 20, 48, 20, 49, 20, 49]","[20, 49, 20, 49, 20, 48, 20, 49, 20, 49, 20]"
"y,h,y,Y*Y.Y",1,"[26, 48, 8, 48, 26, 48, 35, 50, 35, 47]","[26, 48, 8, 48, 26, 48, 35, 50, 35, 47, 35]"
R0,1,"[28, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 37]"
s*s+,1,"[20, 50, 20, 49, 0, 0, 0, 0, 0, 0]","[20, 50, 20, 49]"
"y,Z.",1,"[26, 48, 36, 47, 0, 0, 0, 0, 0, 0]","[26, 48, 36, 47]"
s*s*,1,"[20, 50, 20, 50, 0, 0, 0, 0, 0, 0]","[20, 50, 20, 50]"
X*Z+,1,"[34, 50, 36, 49, 0, 0, 0, 0, 0, 0]","[34, 50, 36, 49]"
Y0,1,"[35, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[35, 37]"
z0,1,"[27, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[27, 37]"
"Y,Z*",1,"[35, 48, 36, 50, 0, 0, 0, 0, 0, 0]","[35, 48, 36, 50]"
"Z,z.z,z,Z.Z",1,"[36, 48, 27, 47, 27, 48, 27, 48, 36, 47]","[36, 48, 27, 47, 27, 48, 27, 48, 36, 47, 36]"
z*Z+z*,1,"[27, 50, 36, 49, 27, 50, 0, 0, 0, 0]","[27, 50, 36, 49, 27, 50]"
"r,",1,"[19, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 48]"
"Y,y,H,y,z,Z",1,"[35, 48, 26, 48, 17, 48, 26, 48, 27, 48]","[35, 48, 26, 48, 17, 48, 26, 48, 27, 48, 36]"
"r,",1,"[19, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 48]"
s*B*,1,"[20, 50, 11, 50, 0, 0, 0, 0, 0, 0]","[20, 50, 11, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
"R,R+R*s*r+r",1,"[28, 48, 28, 49, 28, 50, 20, 50, 19, 49]","[28, 48, 28, 49, 28, 50, 20, 50, 19, 49, 19]"
"R,R+R*",1,"[28, 48, 28, 49, 28, 50, 0, 0, 0, 0]","[28, 48, 28, 49, 28, 50]"
B*,1,"[11, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 50]"
",S.Y.y.Y,s,",1,"[48, 29, 47, 35, 47, 26, 47, 35, 48, 20]","[48, 29, 47, 35, 47, 26, 47, 35, 48, 20, 48]"
".Y.Y,Y.Y.y,",1,"[47, 35, 47, 35, 48, 35, 47, 35, 47, 26]","[47, 35, 47, 35, 48, 35, 47, 35, 47, 26, 48]"
H.Y.Y.H.H.y,1,"[17, 47, 35, 47, 35, 47, 17, 47, 17, 47]","[17, 47, 35, 47, 35, 47, 17, 47, 17, 47, 26]"
",I,z,z,I,Y*",1,"[48, 18, 48, 27, 48, 27, 48, 18, 48, 35]","[48, 18, 48, 27, 48, 27, 48, 18, 48, 35, 50]"
"*S,s+s+s+B+",1,"[50, 29, 48, 20, 49, 20, 49, 20, 49, 11]","[50, 29, 48, 20, 49, 20, 49, 20, 49, 11, 49]"
"R,R*a*S+R*R",1,"[28, 48, 28, 50, 1, 50, 29, 49, 28, 50]","[28, 48, 28, 50, 1, 50, 29, 49, 28, 50, 28]"
"+Z,z,Z.X+Z,",1,"[49, 36, 48, 27, 48, 36, 47, 34, 49, 36]","[49, 36, 48, 27, 48, 36, 47, 34, 49, 36, 48]"
z+Y*z*z*h+h,1,"[27, 49, 35, 50, 27, 50, 27, 50, 8, 49]","[27, 49, 35, 50, 27, 50, 27, 50, 8, 49, 8]"
*z*Y+Y*Z+i+,1,"[50, 27, 50, 35, 49, 35, 50, 36, 49, 9]","[50, 27, 50, 35, 49, 35, 50, 36, 49, 9, 49]"
*g*z+x+x+x+,1,"[50, 7, 50, 27, 49, 25, 49, 25, 49, 25]","[50, 7, 50, 27, 49, 25, 49, 25, 49, 25, 49]"
Z.Z.Z.,1,"[36, 47, 36, 47, 36, 47, 0, 0, 0, 0]","[36, 47, 36, 47, 36, 47]"
R*R0,1,"[28, 50, 28, 37, 0, 0, 0, 0, 0, 0]","[28, 50, 28, 37]"
".S+R.R+R.S,",1,"[47, 29, 49, 28, 47, 28, 49, 28, 47, 29]","[47, 29, 49, 28, 47, 28, 49, 28, 47, 29, 48]"
S+s*,1,"[29, 49, 20, 50, 0, 0, 0, 0, 0, 0]","[29, 49, 20, 50]"
"+s+s+s*S,S*",1,"[49, 20, 49, 20, 49, 20, 50, 29, 48, 29]","[49, 20, 49, 20, 49, 20, 50, 29, 48, 29, 50]"
"b+B,B+s,B+s",1,"[2, 49, 11, 48, 11, 49, 20, 48, 11, 49]","[2, 49, 11, 48, 11, 49, 20, 48, 11, 49, 20]"
*s*S+B+s+B+,1,"[50, 20, 50, 29, 49, 11, 49, 20, 49, 11]","[50, 20, 50, 29, 49, 11, 49, 20, 49, 11, 49]"
s+S*B*s+B+s,1,"[20, 49, 29, 50, 11, 50, 20, 49, 11, 49]","[20, 49, 29, 50, 11, 50, 20, 49, 11, 49, 20]"
"s,s+s*s+s+s",1,"[20, 48, 20, 49, 20, 50, 20, 49, 20, 49]","[20, 48, 20, 49, 20, 50, 20, 49, 20, 49, 20]"
r*,1,"[19, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 50]"
s+s+S*s*s*s,1,"[20, 49, 20, 49, 29, 50, 20, 50, 20, 50]","[20, 49, 20, 49, 29, 50, 20, 50, 20, 50, 20]"
B*s*,1,"[11, 50, 20, 50, 0, 0, 0, 0, 0, 0]","[11, 50, 20, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
s+S*b*s*s*B,1,"[20, 49, 29, 50, 2, 50, 20, 50, 20, 50]","[20, 49, 29, 50, 2, 50, 20, 50, 20, 50, 11]"
y+y+h*h*y*,1,"[26, 49, 26, 49, 8, 50, 8, 50, 26, 50]","[26, 49, 26, 49, 8, 50, 8, 50, 26, 50]"
Y*,1,"[35, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[35, 50]"
S*r*S+,1,"[29, 50, 19, 50, 29, 49, 0, 0, 0, 0]","[29, 50, 19, 50, 29, 49]"
r*R.,1,"[19, 50, 28, 47, 0, 0, 0, 0, 0, 0]","[19, 50, 28, 47]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
S*,1,"[29, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 50]"
Z.,1,"[36, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[36, 47]"
R*,1,"[28, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 50]"
"r,S*R,r+R*r",1,"[19, 48, 29, 50, 28, 48, 19, 49, 28, 50]","[19, 48, 29, 50, 28, 48, 19, 49, 28, 50, 19]"
"r*r+R,R+R*",1,"[19, 50, 19, 49, 28, 48, 28, 49, 28, 50]","[19, 50, 19, 49, 28, 48, 28, 49, 28, 50]"
v*,1,"[23, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[23, 50]"
S+,1,"[29, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 49]"
v*,1,"[23, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[23, 50]"
"R.R,",1,"[28, 47, 28, 48, 0, 0, 0, 0, 0, 0]","[28, 47, 28, 48]"
r*,1,"[19, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 50]"
A*r*,1,"[10, 50, 19, 50, 0, 0, 0, 0, 0, 0]","[10, 50, 19, 50]"
r*,1,"[19, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 50]"
r*s*,1,"[19, 50, 20, 50, 0, 0, 0, 0, 0, 0]","[19, 50, 20, 50]"
r*s*,1,"[19, 50, 20, 50, 0, 0, 0, 0, 0, 0]","[19, 50, 20, 50]"
"s+R*R,R*",1,"[20, 49, 28, 50, 28, 48, 28, 50, 0, 0]","[20, 49, 28, 50, 28, 48, 28, 50]"
V*,1,"[32, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[32, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
E*v*,1,"[14, 50, 23, 50, 0, 0, 0, 0, 0, 0]","[14, 50, 23, 50]"
B*,1,"[11, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 50]"
r*,1,"[19, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 50]"
S*B*,1,"[29, 50, 11, 50, 0, 0, 0, 0, 0, 0]","[29, 50, 11, 50]"
"E,e,E,b,V*Y",1,"[14, 48, 5, 48, 14, 48, 2, 48, 32, 50]","[14, 48, 5, 48, 14, 48, 2, 48, 32, 50, 35]"
",e,e,E,e,E,",1,"[48, 5, 48, 5, 48, 14, 48, 5, 48, 14]","[48, 5, 48, 5, 48, 14, 48, 5, 48, 14, 48]"
"R,",1,"[28, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 48]"
"s*S,S*",1,"[20, 50, 29, 48, 29, 50, 0, 0, 0, 0]","[20, 50, 29, 48, 29, 50]"
B*,1,"[11, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
s*B*,1,"[20, 50, 11, 50, 0, 0, 0, 0, 0, 0]","[20, 50, 11, 50]"
+b+b+b+b+R.,1,"[49, 2, 49, 2, 49, 2, 49, 2, 49, 28]","[49, 2, 49, 2, 49, 2, 49, 2, 49, 28, 47]"
"*Z.Z*Y,Z*Y,",1,"[50, 36, 47, 36, 50, 35, 48, 36, 50, 35]","[50, 36, 47, 36, 50, 35, 48, 36, 50, 35, 48]"
"*r*R,r+r*R,",1,"[50, 19, 50, 28, 48, 19, 49, 19, 50, 28]","[50, 19, 50, 28, 48, 19, 49, 19, 50, 28, 48]"
"H,H,Y.Y,h,Y",1,"[17, 48, 17, 48, 35, 47, 35, 48, 8, 48]","[17, 48, 17, 48, 35, 47, 35, 48, 8, 48, 35]"
i0,1,"[9, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 37]"
",Y.Y,y,y.Y,",1,"[48, 35, 47, 35, 48, 26, 48, 26, 47, 35]","[48, 35, 47, 35, 48, 26, 48, 26, 47, 35, 48]"
s*s*s*,1,"[20, 50, 20, 50, 20, 50, 0, 0, 0, 0]","[20, 50, 20, 50, 20, 50]"
V*v*v*v*,1,"[32, 50, 23, 50, 23, 50, 23, 50, 0, 0]","[32, 50, 23, 50, 23, 50, 23, 50]"
r0,1,"[19, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 37]"
r.,1,"[19, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 47]"
*I+I*i*I+I*,1,"[50, 18, 49, 18, 50, 9, 50, 18, 49, 18]","[50, 18, 49, 18, 50, 9, 50, 18, 49, 18, 50]"
"*R,r,R*r*R,",1,"[50, 28, 48, 19, 48, 28, 50, 19, 50, 28]","[50, 28, 48, 19, 48, 28, 50, 19, 50, 28, 48]"
"s*R,R*r*",1,"[20, 50, 28, 48, 28, 50, 19, 50, 0, 0]","[20, 50, 28, 48, 28, 50, 19, 50]"
Y+y*v*y*,1,"[35, 49, 26, 50, 23, 50, 26, 50, 0, 0]","[35, 49, 26, 50, 23, 50, 26, 50]"
"+s*S,s+s+s*",1,"[49, 20, 50, 29, 48, 20, 49, 20, 49, 20]","[49, 20, 50, 29, 48, 20, 49, 20, 49, 20, 50]"
",s,S+B*B*s+",1,"[48, 20, 48, 29, 49, 11, 50, 11, 50, 20]","[48, 20, 48, 29, 49, 11, 50, 11, 50, 20, 49]"
y*,1,"[26, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[26, 50]"
+s+s+s+s+B+,1,"[49, 20, 49, 20, 49, 20, 49, 20, 49, 11]","[49, 20, 49, 20, 49, 20, 49, 20, 49, 11, 49]"
"R,r+r+b+r*r",1,"[28, 48, 19, 49, 19, 49, 2, 49, 19, 50]","[28, 48, 19, 49, 19, 49, 2, 49, 19, 50, 19]"
y*y*y*Y+,1,"[26, 50, 26, 50, 26, 50, 35, 49, 0, 0]","[26, 50, 26, 50, 26, 50, 35, 49]"
"s+s+s,s+s+s",1,"[20, 49, 20, 49, 20, 48, 20, 49, 20, 49]","[20, 49, 20, 49, 20, 48, 20, 49, 20, 49, 20]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
S*,1,"[29, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 50]"
B*,1,"[11, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 50]"
S*s*,1,"[29, 50, 20, 50, 0, 0, 0, 0, 0, 0]","[29, 50, 20, 50]"
S*s*,1,"[29, 50, 20, 50, 0, 0, 0, 0, 0, 0]","[29, 50, 20, 50]"
"R,R*A*A*r*",1,"[28, 48, 28, 50, 10, 50, 10, 50, 19, 50]","[28, 48, 28, 50, 10, 50, 10, 50, 19, 50]"
R*,1,"[28, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 50]"
"s*R,",1,"[20, 50, 28, 48, 0, 0, 0, 0, 0, 0]","[20, 50, 28, 48]"
",R.R.R,s.r.",1,"[48, 28, 47, 28, 47, 28, 48, 20, 47, 19]","[48, 28, 47, 28, 47, 28, 48, 20, 47, 19, 47]"
S*,1,"[29, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 50]"
S+,1,"[29, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 49]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
S+,1,"[29, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 49]"
S*,1,"[29, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 50]"
"R*R,S*",1,"[28, 50, 28, 48, 29, 50, 0, 0, 0, 0]","[28, 50, 28, 48, 29, 50]"
r*,1,"[19, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 50]"
R.,1,"[28, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 47]"
"r,r.r.",1,"[19, 48, 19, 47, 19, 47, 0, 0, 0, 0]","[19, 48, 19, 47, 19, 47]"
R.,1,"[28, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 47]"
r.,1,"[19, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 47]"
r*,1,"[19, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 50]"
S0,1,"[29, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 37]"
R*,1,"[28, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 50]"
",z,I,Z*Z*i*",1,"[48, 27, 48, 18, 48, 36, 50, 36, 50, 9]","[48, 27, 48, 18, 48, 36, 50, 36, 50, 9, 50]"
"I,Z*Z*i*Z,Z",1,"[18, 48, 36, 50, 36, 50, 9, 50, 36, 48]","[18, 48, 36, 50, 36, 50, 9, 50, 36, 48, 36]"
"R,",1,"[28, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 48]"
r*,1,"[19, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 50]"
",H,H,y,Y*y*",1,"[48, 17, 48, 17, 48, 26, 48, 35, 50, 26]","[48, 17, 48, 17, 48, 26, 48, 35, 50, 26, 50]"
"R,R*",1,"[28, 48, 28, 50, 0, 0, 0, 0, 0, 0]","[28, 48, 28, 50]"
"R.S,",1,"[28, 47, 29, 48, 0, 0, 0, 0, 0, 0]","[28, 47, 29, 48]"
r*,1,"[19, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 50]"
S*,1,"[29, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
S.S.S.s.B.s,1,"[29, 47, 29, 47, 29, 47, 20, 47, 11, 47]","[29, 47, 29, 47, 29, 47, 20, 47, 11, 47, 20]"
"A+r*s+R,",1,"[10, 49, 19, 50, 20, 49, 28, 48, 0, 0]","[10, 49, 19, 50, 20, 49, 28, 48]"
R0R+r+s+,1,"[28, 37, 28, 49, 19, 49, 20, 49, 0, 0]","[28, 37, 28, 49, 19, 49, 20, 49]"
R+r*,1,"[28, 49, 19, 50, 0, 0, 0, 0, 0, 0]","[28, 49, 19, 50]"
"+s+s+r,s,s,",1,"[49, 20, 49, 20, 49, 19, 48, 20, 48, 20]","[49, 20, 49, 20, 49, 19, 48, 20, 48, 20, 48]"
S0,1,"[29, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 37]"
"z+w,F,F,e,z",1,"[27, 49, 24, 48, 15, 48, 15, 48, 5, 48]","[27, 49, 24, 48, 15, 48, 15, 48, 5, 48, 27]"
"S,S.s.r,r.r",1,"[29, 48, 29, 47, 20, 47, 19, 48, 19, 47]","[29, 48, 29, 47, 20, 47, 19, 48, 19, 47, 19]"
",Y.H.y.Y,y,",1,"[48, 35, 47, 17, 47, 26, 47, 35, 48, 26]","[48, 35, 47, 17, 47, 26, 47, 35, 48, 26, 48]"
R*r*A*,1,"[28, 50, 19, 50, 10, 50, 0, 0, 0, 0]","[28, 50, 19, 50, 10, 50]"
R*,1,"[28, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 50]"
r*s*s*,1,"[19, 50, 20, 50, 20, 50, 0, 0, 0, 0]","[19, 50, 20, 50, 20, 50]"
r*r*A*,1,"[19, 50, 19, 50, 10, 50, 0, 0, 0, 0]","[19, 50, 19, 50, 10, 50]"
s.Y+Y.y.y.Y,1,"[20, 47, 35, 49, 35, 47, 26, 47, 26, 47]","[20, 47, 35, 49, 35, 47, 26, 47, 26, 47, 35]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
R*,1,"[28, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 50]"
R*,1,"[28, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 50]"
B*v*,1,"[11, 50, 23, 50, 0, 0, 0, 0, 0, 0]","[11, 50, 23, 50]"
S*,1,"[29, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 50]"
"s,s,R*",1,"[20, 48, 20, 48, 28, 50, 0, 0, 0, 0]","[20, 48, 20, 48, 28, 50]"
"z,",1,"[27, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[27, 48]"
i0,1,"[9, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 37]"
i0,1,"[9, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 37]"
r.,1,"[19, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 47]"
s0,1,"[20, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 37]"
R+s+A+,1,"[28, 49, 20, 49, 10, 49, 0, 0, 0, 0]","[28, 49, 20, 49, 10, 49]"
"R,S*",1,"[28, 48, 29, 50, 0, 0, 0, 0, 0, 0]","[28, 48, 29, 50]"
r*,1,"[19, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 50]"
r+,1,"[19, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 49]"
r*,1,"[19, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 50]"
z*z*I*,1,"[27, 50, 27, 50, 18, 50, 0, 0, 0, 0]","[27, 50, 27, 50, 18, 50]"
"+Y.V,R*Y.Z.",1,"[49, 35, 47, 32, 48, 28, 50, 35, 47, 36]","[49, 35, 47, 32, 48, 28, 50, 35, 47, 36, 47]"
z*Z+,1,"[27, 50, 36, 49, 0, 0, 0, 0, 0, 0]","[27, 50, 36, 49]"
"+Y*Z+z+z+z,",1,"[49, 35, 50, 36, 49, 27, 49, 27, 49, 27]","[49, 35, 50, 36, 49, 27, 49, 27, 49, 27, 48]"
"z,Z*Z+z,z+y",1,"[27, 48, 36, 50, 36, 49, 27, 48, 27, 49]","[27, 48, 36, 50, 36, 49, 27, 48, 27, 49, 26]"
Z*z*z*z+z*,1,"[36, 50, 27, 50, 27, 50, 27, 49, 27, 50]","[36, 50, 27, 50, 27, 50, 27, 49, 27, 50]"
Z+,1,"[36, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[36, 49]"
",Z*Z+Y.Z+y*",1,"[48, 36, 50, 36, 49, 35, 47, 36, 49, 26]","[48, 36, 50, 36, 49, 35, 47, 36, 49, 26, 50]"
.R*Y.v.Y*Z.,1,"[47, 28, 50, 35, 47, 23, 47, 35, 50, 36]","[47, 28, 50, 35, 47, 23, 47, 35, 50, 36, 47]"
z+I*z*z*z*i,1,"[27, 49, 18, 50, 27, 50, 27, 50, 27, 50]","[27, 49, 18, 50, 27, 50, 27, 50, 27, 50, 9]"
Z*Z*z*z*z*,1,"[36, 50, 36, 50, 27, 50, 27, 50, 27, 50]","[36, 50, 36, 50, 27, 50, 27, 50, 27, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
I+I+I+i+I+i,1,"[18, 49, 18, 49, 18, 49, 9, 49, 18, 49]","[18, 49, 18, 49, 18, 49, 9, 49, 18, 49, 9]"
"S,",1,"[29, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 48]"
S.R*,1,"[29, 47, 28, 50, 0, 0, 0, 0, 0, 0]","[29, 47, 28, 50]"
r*R+,1,"[19, 50, 28, 49, 0, 0, 0, 0, 0, 0]","[19, 50, 28, 49]"
"y,y,y,",1,"[26, 48, 26, 48, 26, 48, 0, 0, 0, 0]","[26, 48, 26, 48, 26, 48]"
"r,",1,"[19, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 48]"
"R,",1,"[28, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 48]"
A.,1,"[10, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 47]"
"Y,",1,"[35, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[35, 48]"
"S,r,r.S,",1,"[29, 48, 19, 48, 19, 47, 29, 48, 0, 0]","[29, 48, 19, 48, 19, 47, 29, 48]"
"s+s,",1,"[20, 49, 20, 48, 0, 0, 0, 0, 0, 0]","[20, 49, 20, 48]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
",s,s,A,A,R.",1,"[48, 20, 48, 20, 48, 10, 48, 10, 48, 28]","[48, 20, 48, 20, 48, 10, 48, 10, 48, 28, 47]"
s+,1,"[20, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 49]"
Y0Y*,1,"[35, 37, 35, 50, 0, 0, 0, 0, 0, 0]","[35, 37, 35, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
"r,S.",1,"[19, 48, 29, 47, 0, 0, 0, 0, 0, 0]","[19, 48, 29, 47]"
R*,1,"[28, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
S*B*,1,"[29, 50, 11, 50, 0, 0, 0, 0, 0, 0]","[29, 50, 11, 50]"
"r*R,r,r,",1,"[19, 50, 28, 48, 19, 48, 19, 48, 0, 0]","[19, 50, 28, 48, 19, 48, 19, 48]"
R*,1,"[28, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 50]"
s*r*r*,1,"[20, 50, 19, 50, 19, 50, 0, 0, 0, 0]","[20, 50, 19, 50, 19, 50]"
"R+r,R*R,",1,"[28, 49, 19, 48, 28, 50, 28, 48, 0, 0]","[28, 49, 19, 48, 28, 50, 28, 48]"
R*,1,"[28, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 50]"
",r+r+r*R+R*",1,"[48, 19, 49, 19, 49, 19, 50, 28, 49, 28]","[48, 19, 49, 19, 49, 19, 50, 28, 49, 28, 50]"
A*,1,"[10, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 50]"
A*,1,"[10, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 50]"
R+r*,1,"[28, 49, 19, 50, 0, 0, 0, 0, 0, 0]","[28, 49, 19, 50]"
r*a*,1,"[19, 50, 1, 50, 0, 0, 0, 0, 0, 0]","[19, 50, 1, 50]"
*A*A*r*s*r*,1,"[50, 10, 50, 10, 50, 19, 50, 20, 50, 19]","[50, 10, 50, 10, 50, 19, 50, 20, 50, 19, 50]"
r*r*r+R*,1,"[19, 50, 19, 50, 19, 49, 28, 50, 0, 0]","[19, 50, 19, 50, 19, 49, 28, 50]"
r+S*s*r*,1,"[19, 49, 29, 50, 20, 50, 19, 50, 0, 0]","[19, 49, 29, 50, 20, 50, 19, 50]"
"R.S.S.S,",1,"[28, 47, 29, 47, 29, 47, 29, 48, 0, 0]","[28, 47, 29, 47, 29, 47, 29, 48]"
